hostname,pl_letter,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_radj,pl_radjerr1,pl_radjerr2,sy_dist,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,hd_name,hip_name
"Kepler-11","c","Transit",13.02502000,0.00008000,-0.00008000,0.106000,0.004000,-0.004000,0.000000,,,89.000,1.000,-0.600,0.04200,0.01500,-0.01900,0.281,0.027,-0.027,646.3460000,0.95,0.10,-0.10,1.10,0.10,-0.10,,
"Kepler-11","f","Transit",46.68876000,0.00074000,-0.00074000,0.250000,0.009000,-0.009000,0.000000,,,89.400,0.300,-0.200,0.00700,0.00700,-0.00400,0.233,0.022,-0.022,646.3460000,0.95,0.10,-0.10,1.10,0.10,-0.10,,
"HAT-P-1","b","Transit",4.46543000,,,0.055300,0.001200,-0.001300,,,,86.110,0.180,-0.180,0.53200,0.03000,-0.03000,1.242,0.053,-0.053,158.9790000,1.13,0.07,-0.08,1.14,0.05,-0.05,,
"OGLE-TR-10","b","Transit",3.10127800,,,0.043400,0.001300,-0.001500,,,,90.000,0.000,-3.900,0.62000,0.14000,-0.14000,1.250,0.140,-0.120,1344.9700000,1.14,0.12,,1.17,0.13,,,
"TrES-2","b","Transit",2.47063000,0.00001000,-0.00001000,0.035560,0.000750,-0.000750,0.000000,,,83.620,0.140,-0.140,1.19900,0.05200,-0.05200,1.272,0.041,-0.041,215.3200000,1.06,0.12,-0.14,1.02,0.04,-0.04,,
"WASP-3","b","Transit",1.84683500,0.00000200,-0.00000200,0.031510,0.001500,-0.000987,0.000000,,,84.930,1.320,-0.780,1.76000,0.08000,-0.14000,1.290,0.050,-0.070,231.1610000,1.26,0.18,-0.21,1.36,0.07,-0.07,,
"HD 210702","b","Radial Velocity",354.29000000,2.31000000,-2.13000000,1.200000,0.020000,-0.030000,0.106000,,,,,,1.97000,0.11000,-0.18000,,,,54.1963000,1.85,0.13,-0.13,,,,"HD 210702","HIP 109577"
"BD-08 2823","b","Radial Velocity",5.60000000,0.02000000,-0.02000000,0.056000,0.002000,-0.002000,0.150000,0.150000,-0.150000,,,,0.04500,0.00700,-0.00700,,,,41.3342000,0.74,0.07,-0.07,,,,,"HIP 49067"
"BD-08 2823","c","Radial Velocity",237.60000000,1.50000000,-1.50000000,0.680000,0.020000,-0.020000,0.190000,0.090000,-0.090000,,,,0.33000,0.03000,-0.03000,,,,41.3342000,0.74,0.07,-0.07,,,,,"HIP 49067"
"HAT-P-30","b","Transit",2.81059500,0.00000500,-0.00000500,0.041900,0.000500,-0.000500,0.035000,0.024000,-0.024000,83.600,0.400,-0.400,0.71100,0.02800,-0.02800,1.340,0.065,-0.065,213.9850000,1.24,0.04,-0.04,1.22,0.05,-0.05,,
"HR 8799","b","Imaging",170000.00000000,,,68.000000,,,,,,,,,7.00000,4.00000,-2.00000,1.200,0.100,-0.100,41.2441000,1.61,0.32,-0.21,1.49,0.05,-0.05,"HD 218396","HIP 114189"
"HD 110014","b","Radial Velocity",835.47700000,6.04000000,-6.04000000,2.140000,0.030000,-0.030000,0.462000,0.069000,-0.069000,,,,11.09000,1.00000,-1.00000,,,,100.7580000,2.17,0.28,-0.28,20.90,1.10,-1.10,"HD 110014","HIP 61740"
"HIP 5158","b","Radial Velocity",345.72000000,5.37000000,-5.37000000,0.890000,,,0.520000,0.080000,-0.080000,,,,1.42000,,,,,,51.6026000,0.78,0.02,-0.02,,,,,"HIP 5158"
"HD 125612","c","Radial Velocity",4.15470000,0.00050000,-0.00050000,0.050000,,,0.270000,0.120000,-0.120000,,,,0.05800,,,,,,57.6207000,1.09,0.03,-0.03,,,,"HD 125612","HIP 70123"
"HD 171238","b","Radial Velocity",1523.00000000,40.00000000,-45.00000000,2.540000,0.060000,-0.060000,0.400000,0.061000,-0.065000,,,,2.60000,0.15000,-0.15000,,,,44.8113000,0.94,0.03,-0.03,,,,"HD 171238","HIP 91085"
"HD 44219","b","Radial Velocity",472.30000000,6.30000000,-5.00000000,1.190000,0.020000,-0.020000,0.610000,0.070000,-0.090000,,,,0.58000,0.06000,-0.04000,,,,52.9051000,1.00,,,1.32,0.07,-0.07,"HD 44219","HIP 30114"
"HD 6718","b","Radial Velocity",2496.00000000,176.00000000,-176.00000000,3.560000,0.240000,-0.150000,0.100000,0.110000,-0.040000,,,,1.56000,0.11000,-0.10000,,,,51.3444000,0.96,,,1.02,0.03,-0.03,"HD 6718","HIP 5301"
"HD 156846","b","Radial Velocity",359.55460000,0.00710000,-0.00710000,1.096000,0.021000,-0.021000,0.847850,0.000500,-0.000500,,,,10.57000,0.29000,-0.29000,,,,47.7332000,1.35,0.04,-0.04,2.12,0.12,-0.12,"HD 156846","HIP 84856"
"HD 132563","b","Radial Velocity",1544.00000000,34.00000000,-34.00000000,2.620000,0.040000,-0.040000,0.220000,0.090000,-0.090000,,,,1.49000,0.09000,-0.09000,,,,105.1550000,1.23,0.22,-0.15,1.30,0.07,-0.04,"HD 132563","HIP 73261 A"
"HD 137388","b","Radial Velocity",330.00000000,2.00000000,-4.00000000,0.890000,0.020000,-0.020000,0.360000,0.120000,-0.120000,,,,0.22300,0.02900,-0.02900,,,,40.4841000,0.86,,,0.82,,,"HD 137388","HIP 76351"
"CoRoT-18","b","Transit",1.90006930,0.00000280,-0.00000280,0.029500,0.001600,-0.001600,0.080000,,,86.500,1.400,-0.900,3.47000,0.38000,-0.38000,1.310,0.180,-0.180,764.8890000,0.95,0.15,-0.15,1.00,0.13,-0.13,,
"Kepler-17","b","Transit",1.48571080,0.00000020,-0.00000020,0.025910,0.000370,-0.000360,0.011000,,,87.200,0.150,-0.150,2.45000,0.11000,-0.11000,1.310,0.020,-0.020,720.7530000,1.04,,,1.01,,,,
"HD 85512","b","Radial Velocity",58.43000000,0.13000000,-0.13000000,0.260000,0.005000,-0.005000,0.110000,0.100000,-0.100000,90.000,,,0.01100,0.00200,-0.00200,,,,11.2810000,0.69,,,,,,"HD 85512","HIP 48331"
"HD 23127","b","Radial Velocity",1214.00000000,9.00000000,-9.00000000,2.400000,0.300000,-0.300000,0.440000,0.070000,-0.070000,,,,1.50000,0.20000,-0.20000,,,,93.8555000,1.13,0.10,-0.10,,,,"HD 23127","HIP 17054"
"HD 100655","b","Radial Velocity",157.57000000,0.65000000,-0.65000000,0.760000,0.020000,-0.040000,0.085000,0.054000,-0.054000,,,,1.70000,0.10000,-0.20000,,,,137.1780000,2.40,0.20,-0.40,9.30,1.30,-1.10,"HD 100655","HIP 56508"
"kap CrB","b","Radial Velocity",1208.00000000,30.00000000,-30.00000000,2.700000,,,0.146000,0.080000,-0.080000,,,,1.80000,,,,,,30.0651000,1.80,0.11,-0.11,4.71,0.08,-0.08,"HD 142091","HIP 77655"
"CoRoT-19","b","Transit",3.89713000,0.00002000,-0.00002000,0.051800,0.000800,-0.000800,0.047000,0.045000,-0.045000,88.000,0.700,-0.700,1.11000,0.06000,-0.06000,1.290,0.030,-0.030,790.6630000,1.21,0.05,-0.05,1.65,0.04,-0.04,,
"Kepler-24","c","Transit",12.33350000,,,0.106000,,,,,,,,,1.60000,,,0.250,,,1156.8100000,1.03,0.11,-0.14,1.07,0.16,-0.23,,
"GJ 667 C","b","Radial Velocity",7.20066000,0.00067000,-0.00067000,0.049000,,,0.172000,0.043000,-0.043000,,,,0.01789,0.00075,-0.00075,,,,7.2439600,,,,,,,,
"HD 155358","b","Radial Velocity",194.30000000,0.30000000,-0.30000000,0.640000,0.010000,-0.010000,0.170000,0.030000,-0.030000,,,,0.85000,0.05000,-0.05000,,,,43.6197000,0.92,,,,,,"HD 155358","HIP 83949"
"HD 79498","b","Radial Velocity",1966.10000000,41.00000000,-41.00000000,3.130000,0.080000,-0.080000,0.590000,0.020000,-0.020000,,,,1.34000,0.07000,-0.07000,,,,48.9489000,1.06,,,,,,"HD 79498","HIP 45406"
